Time,Emotion,Confidence
12:11:53 PM,sad,53.0
12:11:58 PM,sad,82.6
12:12:03 PM,sad,65.1
12:12:09 PM,sad,83.4
12:12:14 PM,sad,94.4
12:12:19 PM,sad,97.5
12:12:24 PM,sad,96.5
12:12:29 PM,sad,72.1
12:12:35 PM,sad,57.8
12:12:40 PM,sad,48.7
12:12:45 PM,sad,99.3
12:12:50 PM,sad,99.8
12:12:55 PM,happy,76.6
12:13:05 PM,happy,81.1
12:13:11 PM,sad,69.4
12:13:16 PM,sad,96.2
12:13:21 PM,sad,59.0
12:13:26 PM,sad,66.4
12:13:31 PM,sad,65.0
12:13:34 PM,angry,92.3
12:13:43 PM,angry,97.5
12:13:48 PM,angry,74.6
12:13:58 PM,angry,96.6
12:13:59 PM,sad,95.6
12:14:04 PM,sad,61.4
12:14:09 PM,sad,68.4
12:14:14 PM,sad,73.3
12:14:20 PM,sad,84.4
12:14:25 PM,sad,87.1
12:14:30 PM,sad,48.3
12:14:35 PM,sad,67.8
12:15:45 PM,,84.6
12:15:46 PM,sad,83.6
12:15:51 PM,sad,93.7
12:15:56 PM,sad,60.9
12:16:02 PM,sad,96.7
12:16:07 PM,sad,86.6
12:16:12 PM,sad,95.7
12:16:17 PM,sad,76.0
12:16:23 PM,sad,78.2
12:16:29 PM,sad,90.2
12:16:34 PM,sad,83.4
12:16:40 PM,sad,81.2
12:16:43 PM,neutral,58.1
12:16:48 PM,neutral,66.4
12:16:53 PM,neutral,97.3
12:16:59 PM,neutral,95.0
12:17:05 PM,neutral,97.0
12:17:06 PM,sad,90.2
12:17:11 PM,sad,90.9
12:17:16 PM,sad,98.1
12:17:22 PM,sad,97.5
12:17:27 PM,sad,79.4
12:17:32 PM,sad,65.0
12:17:37 PM,sad,61.0
12:17:42 PM,sad,74.4
12:17:44 PM,neutral,95.8
12:17:49 PM,neutral,70.8
12:17:51 PM,sad,53.2
12:17:51 PM,neutral,72.2
12:17:56 PM,neutral,77.8
12:18:01 PM,neutral,55.4
12:18:07 PM,neutral,81.2
12:18:11 PM,angry,80.9
12:18:16 PM,angry,93.1
12:18:22 PM,angry,72.3
12:18:24 PM,neutral,87.5
12:18:29 PM,neutral,89.9
12:18:35 PM,sad,64.5
12:18:41 PM,sad,83.1
12:18:46 PM,sad,65.0
12:18:51 PM,sad,82.7
12:18:57 PM,sad,86.7
12:19:02 PM,sad,94.5
12:19:07 PM,sad,99.9
12:19:13 PM,sad,94.7
12:19:18 PM,sad,81.7
12:19:24 PM,sad,99.7
12:19:29 PM,sad,99.1
12:19:34 PM,sad,96.0
12:19:40 PM,sad,69.8
12:19:45 PM,sad,78.3
12:19:50 PM,sad,61.1
12:19:55 PM,sad,58.3
12:20:01 PM,sad,74.6
12:20:06 PM,sad,100.0
12:20:11 PM,sad,96.6
12:20:16 PM,sad,92.9
12:20:21 PM,sad,83.7
12:20:26 PM,sad,95.7
